Timestamp,Rank,Name,Symbol,Price (USD),24h Change (%),Market Cap
2026-06-16 10:42:05,1,Bitcoin,BTC,65924.69,0.33,"$1,321,674,434,781"
2026-06-16 10:42:05,2,Ethereum,ETH,1761.47,0.98,"$212,776,531,530"
2026-06-16 10:42:05,3,Tether,USDT,0.9992,0.01,"$186,404,859,069"
2026-06-16 10:42:05,4,BNB,BNB,613.44,0.16,"$82,682,500,928"
2026-06-16 10:42:05,5,XRP,XRP,1.22,0.26,"$75,971,719,518"
2026-06-16 10:42:05,6,USDC,USDC,0.9996,0.0,"$74,957,910,899"
2026-06-16 10:42:05,7,Solana,SOL,73.47,0.38,"$42,612,709,904"
2026-06-16 10:42:05,8,TRON,TRX,0.3174,0.01,"$30,105,112,360"
2026-06-16 10:42:05,9,Hyperliquid,HYPE,71.55,2.74,"$18,132,937,443"
2026-06-16 10:42:05,10,Dogecoin,DOGE,0.08698,0.53,"$13,455,560,913"
